IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19323	2	-0.0386741	0.0464376	-0.0618233	-0.00803094	0.00284603	0.00132922	0.00610091	-0.000378382	0.00708964	0.00458562
NA19324	2	-0.0298883	0.0471868	-0.0617438	0.00569354	-0.00464526	0.00512255	-0.0106162	-0.00755674	-0.0169071	-0.0042113
NA19327	2	-0.0423383	0.0462472	-0.0711955	0.00231537	-0.000164071	-0.0138468	0.00894245	0.00270012	-0.0163163	-0.00112744
NA19328	2	-0.0350701	0.0544778	-0.0707369	0.0083557	-0.00249805	0.00311476	0.00348058	-0.00984393	-0.00965286	0.0110843
NA19331	1	-0.038338	0.0630829	-0.0946268	0.00968717	-0.0359261	-0.0217611	-0.0313393	-0.0170554	0.638068	-0.236963
NA19332	2	-0.0321871	0.0505962	-0.0600248	0.00170193	-0.00518083	0.00759093	0.0021277	-0.00322382	-0.00641762	0.00551841
NA19334	1	-0.0375026	0.0631586	-0.0903268	0.00708491	-0.0347741	-0.0242839	-0.0317143	-0.0190626	0.642474	-0.238563
NA19338	2	-0.0357469	0.0489377	-0.0680997	0.00404148	0.00135666	0.00963128	0.00151148	-0.00794305	-0.0177275	-0.0040066
NA19346	1	-0.0308085	0.0525136	-0.0628399	-0.00233071	-0.00253583	-0.0048831	0.00139821	-0.00322293	-0.0151016	0.00428937
NA19347	1	-0.0367721	0.0583613	-0.0759022	-9.13572e-05	0.00917304	-0.00561313	-0.0082972	0.00542105	-0.0283891	0.0106118
NA19350	1	-0.0369647	0.0541539	-0.076728	0.00699872	-0.0030644	0.00243846	0.00716553	-0.00525124	-0.0325893	0.0107143
NA19351	2	-0.0314445	0.0545096	-0.0644646	-0.00311131	-0.00531028	0.00245585	0.00035206	0.00262339	-0.0216353	0.00932689
NA19355	2	-0.0361295	0.0512989	-0.0717221	-0.00398929	-0.00392465	-0.00263591	0.00392117	-0.0103232	-0.036303	0.00235535
NA19360	1	-0.0332791	0.0531415	-0.0704205	0.00167465	-0.000978499	-0.003722	0.00205431	-0.0117096	0.0327204	-0.0192346
NA19372	1	-0.0288356	0.0525618	-0.0684737	0.00594593	0.00309136	-0.00963866	0.00325752	0.00557935	-0.0200034	0.00140882
NA19374	1	-0.035321	0.0491589	-0.0693836	0.00355037	0.00443997	0.0018476	-0.000192599	0.00701451	-0.0244692	0.0110185
NA19375	1	-0.0406618	0.0575076	-0.0726178	-0.00170968	0.00231711	-0.00158504	0.00708283	-0.00194437	-0.0345772	0.010765
NA19376	1	-0.0325103	0.0658774	-0.0861251	6.95757e-05	0.00251054	-0.00992547	-0.00362679	0.0141134	-0.0384122	0.0232627
NA19377	2	-0.0322427	0.0530839	-0.0691045	0.0104557	0.00660572	0.00361621	-0.00129606	-0.00507147	-0.00945577	8.96071e-06
NA19378	2	-0.0313498	0.0466404	-0.0585461	-0.00344479	0.00437268	-0.005677	-0.00433911	0.00745424	-0.0180209	0.00400934
NA19379	2	-0.0326235	0.0528048	-0.0659239	0.0119614	-0.0078235	-0.00229522	0.00820717	-0.00196117	-0.00428629	-0.0121455
